Word,Processed Result
অভিনেত্রী,obʰinet̪ri
ছিষ্টিকৌশল,cʰiʃtikou̯ʃɔl
জেলে,ɟele
আড়ানি,adani
চটিকা,cotika
দিনযাপন,d̪inɟapon
উটকনো,utkɔno
বাসনা,baʃona
লগবগে,lɔgobge
শোচিত,ʃocit̪o
বোধিসত্তা,bod̪ʰiʃɔt̪t̪a
দমন,d̪ɔmon
রাদি,rad̪i
ছুটকো-ছাটকা,cʰutko-cʰatka
খাজাঞ্চি,kʰaɟanci
প্রতিশয়ন,prot̪iʃɔʲon
প্রত্যয়হন্তা,prot̪t̪ɔʲhɔnt̪a
সদসৎ,ʃɔd̪ʃɔt̪
তাওয়াক্‌কুল,t̪ao̯ʷakkul
জগন্নাথক্ষেত্র,ɟɔgonnat̪ʰokkʰet̪ro
পুটিকা,putika
নিরাতপ,nirat̪pɔp
ইন্দ্রায়ুধ,ind̪raʲud̪ʰ
মনুষ্যবাস,monuʃʃobaʃ
চড়ন্দার,cɔdorond̪ar
প্রচ্ছদপট,proccʰod̪pɔt
সোলেনামা,solenama
রাঁড়ের,raɽer
খুজলি,kʰuɟli
মেদুর,med̪ur
সপ্তাঙ্গ,ʃɔpt̪aŋgo
ছিন্নমস্তক,cʰinnomɔst̪ok
প্রাণময়ী,pranmoʲi
চীজ,ciɟ
মহারাজ,mɔharaɟ
ভাজ,bʰaɟ
ভালোরে,bʰalore
বেহুলা,behula
চোঁয়া,coɟa
নিয়োগী,niʲogi
রসাত্মাক,rɔʃat̪t̪ak
জনসঙ্ঘ,ɟɔnoʃɔŋgʰo
বৃদ্ধ,brid̪d̪ʰo
পূর্বজন্ম,purboɟɔnmo
শাগরেদী,ʃagored̪i
আত্মগুপ্তা,at̪t̪ogupt̪a
টমটম,tɔmtɔm
অভিপন্ন,obʰipɔnno
প্রেক্ষিকা,prekkʰika
পকেটমারা,pɔketmara
কাকলি,kakli
আত্মগুণাভিমানী,at̪t̪ogunabʰimani
রি,ri
মার,mar
অপূর্ব,ɔpurbo
হাকিক,hakik
বিভাবক,bibʰabok
পিতুঃস্বসা,pit̪uʃʃɔʃa
ভারই,bʰari
চৌকুনে,cou̯kune
উদ্‌গিরণ,ud̪girɔn
অখ্যাতিজনক,ɔkkʰat̪iɟɔnok
দুই-এক,d̪ui̯-ek
তুচ্ছ,t̪uccʰo
শাহজাদী,ʃahɟad̪i
মহারানী,mɔharani
খোপর,kʰopor
চতুর্দশী,cot̪urd̪oʃi
হাজারি,haɟari
বৈকালি,boi̯kali
সুরৎ,ʃurɔt̪
নিষ্কাশন,niʃkaʃon
কৌমারভৃত্যতন্ত্র,kou̯marbʰrit̪t̪ont̪ro
যতি,ɟot̪i
স্বচ্ছ,ʃɔccʰo
পৌরাঙ্গনা,pou̯raŋgona
গুড়ুম,guɽum
বেশিকম,beʃikɔm
লাটুদার,latud̪ar
স্নবারি,snobari
খ্রিষ্টীয়,kʰriʃtiʲo
জ্যেষ্ঠতাত,ɟeʃtʰot̪at̪
আহা-হা,aha-ha
যথাবিহিত,ɟɔt̪ʰabihit̪o
অবক্ষয়,ɔbokkʰɔʲ
মালসী,maloʃi
বাঙ্‌মনস্‌,baŋmons
বেপথু,bepɔt̪ʰu
বীরঙ্গনা,birɔŋgona
গোলালাকার,golalakar
পাত্যায়া,pat̪t̪aʲa
ফঙ্গবেনে,pʰɔŋgobene
ক্রীত,krit̪o
বায়ুকোণ,baʲukon
সমিধ,ʃomid̪ʰ
পানাই,panai̯
ছুরাত,cʰurat̪
আবাসভূমি,abaʃbʰumi
পেতা,pet̪a
দড়বড়ি,d̪ɔɽboɽi
দণ্ডপাল,d̪ɔndopal
টিয়ে,tiʲe
নিরলস,nirɔls
স্বর্ণপ্রসূ,ʃɔrnoproʃu
পিছনে,picʰone
অধ্যয়ননিবিষ্ট,od̪d̪ʰoʲonnibiʃto
গৃহগোধিকা,grihogod̪ʰika
কলঙ্কিনী,kɔloŋkini
চমকিত,cɔmkit̪o
শ্রুতি-কঠোর,srut̪i-kɔtʰor
বেদনা,bed̪ona
সহমরণ,ʃɔhomɔron
মার্গণ,margɔn
হাঁসিয়া,haʃiɟa
চৌগোঁপ্পা,cou̯goppa
স্বৌজঃ,ʃou̯ɟok
দুশমনি,d̪uʃmoni
ঝাজি,ɟʰaɟi
তৈল,t̪oi̯lo
রৌশনি,rou̯ʃoni
জ্বালানো,ɟalano
বোধয়িতা,bod̪ʰoʲit̪a
পাত্রী,pat̪ri
কটাচোখ,kɔtacokʰ
বর্মণ,bɔrmon
দুধি,d̪ud̪ʰi
কটমটে,kɔtomɔte
শ্বসিত,ʃoʃit̪o
বলাধিক্য,bɔlad̪ʰikko
উরুত,urut̪
বিয়াল্লিশ,biʲalliʃ
তায়খানা,t̪aɟokʰana
ককুঞ্জল,kokunɟɔl
ত্রিসন্ধ্যা,t̪riʃɔnd̪ʰa
ন্যাজ,næɟ
লাবক,labok
বিতন্ত্রী,bit̪ɔnt̪ri
ধুদ্ধুড়ি,d̪ʰud̪d̪ʰuɽi
শোকানল,ʃokanɔl
গ্রন্থকর্তা,gront̪ʰokɔrt̪a
জহিন,ɟohin
জীবনকীর্তি,ɟibɔnkirt̪i
মহারাজাধিরাজ,mɔharaɟad̪ʰiraɟ
ব্যক্তিস্বাতন্ত্র্য,bekt̪iʃat̪ont̪ro
টিকিটমাষ্টার,tikitmaʃtar
উলসিত,ulʃit̪o
অবাঙ্‌মুখ,ɔbaŋmukʰ
ভ্রাতৃবধূ,bʰrat̪ribod̪ʰu
বাণবার,banbar
ওকালতনামা,okalɔt̪nama
ঢুঁঢু,dʰudʰu
বচনীয়,bɔconiʲo
ঘরগুষ্টি,gʰɔrguʃti
নিত্যসমাস,nit̪t̪oʃɔmaʃ
উপভাষা,upobʰaʃa
সর্দারি,ʃɔrd̪ari
পুরুষার্থ,puruʃart̪ʰo
কাজিব,kaɟibo
যামঘোষা,ɟamgʰoʃa
কড়কড়ে,kɔɽkɔɽe
লকবধারী,lɔkbod̪ʰari
জলের,ɟɔler
অনুুপ্রবেশ,onuprobeʃ
মলানো,mɔlano
ডঙ্কা,dɔŋka
রাতারাতি,rat̪arat̪i
শূলানো,ʃulano
চীর্ণ,cirno
দিঙ্‌নির্ণয়,d̪iŋnirnɔʲ
বৌভাত,bou̯bʰat̪
বাড়ি,baɽi
ফেরেব,pʰereb
রীতিবিরুদ্ধ,rit̪ibirud̪d̪ʰo
ভিন্নতা,bʰinnot̪a
প্রতিক্ষণ,prot̪ikkʰon
রীল,ril
নিষ্ক্রম,niʃkrom
ভক্তিমতী,bʰokt̪imot̪i
আয়াসী,aɟaʃi
নির্জাস,nirɟaʃ
মিতাক্ষরা,mit̪akkʰora
বরণ্ডারি,bɔrondari
নালিশ,naliʃ
শেরি,ʃeri
খুচরা,kʰucra
রণমত্ত,rɔnomɔt̪t̪o
বহুরূপ,bohurup
শাস্ত্রবিহিত,ʃast̪robihit̪o
বিশ্ববকাটে,biʃʃobkate
একমুখে,ækmukʰe
চর্বিতচর্বণ,corbit̪cɔrbon
অতিতর,ot̪it̪ɔr
আচমনীয়,acomoniɟɔro
যোগালে/,ɟogaler
অন্নসংস্থান,ɔnnoʃɔŋst̪ʰan
খালকাত,kʰalkat̪
লাঙ্গল-টানা,laŋgol-tana
শকুল,ʃokul
সর্বতোমুখা,ʃɔrbot̪omukʰa
জ্ঞানগর্ভ,gængɔrbʰo
চালনীয়,calniɟɔro
অনাগম্য,ɔnagommo
ট্রাস্ট,trast
কুলট,kulɔt
স্বয়ম্ভুতি,ʃɔʲombʰut̪i
আগম,agom
ইসা,isa
কর্তব্যপরাঙ্‌মুখ,kɔrt̪obbopɔraŋmukʰ
ষষ্টিধা,ʃoʃtid̪ʰa
লিপিচাতুর্য,lipicat̪urɟo
ডাকসিদ্ধ,dakʃid̪d̪ʰo
মুতওল্লী,mut̪olli
অন্তঃপতী,ɔnt̪opot̪i
গোস্‌ত,gost̪o
কনুই,konui̯
মুুণ্ডু,mundu
ব্রহ্মদৈত্য,brɔmmod̪oi̯t̪t̪o
খাটুন্তে,kʰatunt̪e
বায়েত,baʲet̪
ভেড়ানো,bʰeɽano
তৈলকল্ক,t̪oi̯lokɔlko
হরিতাল,horit̪al
দেহাতীত,d̪ehat̪it̪
রৌপ্যচূর্ণ,rou̯ppocurno
কণিকা,konika
দুর্নীতিপরায়ণ,d̪urnit̪ipɔraʲon
আরারুট,ararut
রাজধানী,raɟd̪ʰani
আত্মবিনাশ,at̪t̪obinaʃ
অবিবেকী,ɔbibeki
ষড়গত,ʃɔdorgɔt̪o
বনানী,bɔnani
তোৎলা,t̪ot̪la
ভেঙচি,bʰeŋci
ছাটনি,cʰatni
ঢিলাঢালা,dʰiladʰala
লোলাজিহ্ব,lolaɟihbo
অব্যবস্থিত,ɔbæbost̪ʰit̪o
ময়দান,mɔʲd̪an
অপ্রবৃত্তি,ɔprobrit̪t̪i
পরিদৃষ্ট,porid̪riʃto
গদাঘাত,gɔd̪agʰat̪
লাঙল,laŋlo
অনুকরণদক্ষ,onukɔrond̪okkʰo
কুলনাশক,kulonaʃok
অকল্পনা,ɔkɔlpona
রক্ষাগৃহ,rokkʰagriho
জুজবন্দী,ɟuɟbond̪i
বারিত্রা,barit̪ra
জ্বরাগ্নি,ɟɔragni
লুড়ী,luɽi
রোধা,rod̪ʰa
শান্তিপ্রিয়,ʃant̪ipriʲo
কাঠুরিয়া,katʰuriʲa
পরবর্তী,pɔrobort̪i
অর্গ্যান,ɔrgæn
নিনাদ,ninad̪
কালাজাম,kalaɟam
দৃঢ়ীভবন,d̪riɽʰibʰɔbon
প্রত্যক্ষীকৃত,prot̪t̪okkʰikrit̪o
কচা,kɔca
কাটছাঁট,katcʰat
আমিষলোলুপ,amiʃlolup
আনো,ano
ক্লোম-শাখা,klom-ʃakʰa
আভাং,abʰaŋ
দহিমঙ্গল,d̪ohimɔŋgol
গনী,goni
ঘটয়িতব্য,gʰɔtɟogit̪obbo
চটুল,cotul
ব্যঙ্গ্যোক্রি,bæŋgokri
কালেক্টারি,kalektari
বয়স,bɔʲoʃ
সরলতা,ʃɔrolɔt̪a
দংশক,d̪ɔŋʃok
খুবরি,kʰubri
বদ্ধাঞ্জলি,bɔd̪d̪ʰanɟoli
আতিথ্যস্বীকার,at̪it̪t̪ʰoʃikar
এয়োতি,eʲot̪i
প্রার্থয়িত্রী,prart̪ʰoʲit̪ri
দুরুক্তি,d̪urukt̪i
ছিটকনো,cʰitkɔno
বাজন,baɟon
দুরবুদ্ধি,d̪urbud̪d̪ʰi
সহবতদুরস্ত,ʃɔhobɔt̪d̪urɔst̪o
ক্ষীরসমুদ্র,kʰirʃomud̪ro
বোঝানো,boɟʰano
ঢলকানো,dʰɔlkano
তিহড়ি,t̪ihoɽi
তেড়ছা,t̪eɽcʰa
সস্নেহ,ʃɔsneho
দোপট্টি,d̪opotti
বিদ্যুৎকোষ,bid̪d̪ut̪koʃ
নীলাভ,nilabʰ
কিয়,kiʲo
রসিকা,roʃika
ঘড়ঘড়,gʰɔɽgʰɔɽoɽ
অলুফাদার,olupʰad̪ar
মজনু,mɔɟnu
ঊরু,uru
ডুকার,dukar
মিসকি,miski
রঙচং,rɔŋcɔŋ
বনমালী,bɔnmali
রিজাইন,riɟai̯n
অহংমন্যমান,ɔhɔŋmonnoman
অভিনীত,obʰinit̪o
সদুরি,ʃod̪uri
চর্বি,corbi
ঈথার,it̪ʰar
প্রতিপাদিত্য,prot̪ipad̪it̪t̪o
অগ্নিদাহ,ɔgnid̪ah
বটকিরি,bɔtkiri
ষট্‌পদাতিথি,ʃɔtpod̪at̪it̪ʰi
লেংটি,leŋti
ন্যায়নিষ্ঠা,næʲniʃtʰa
কেতাত্থ,ket̪at̪t̪ʰo
যাউ,ɟau̯
পাঞ্জাবি,panɟabi
গীঃ,giʃ
সুরেশ,ʃureʃ
গলাবন্ধ,gɔlabɔnd̪ʰo
ঘূর্ণাবায়ু,gʰurnabaɟbʰu
মাজুয়া,maɟuʷa
উপবীতী,upobit̪i
কামবাই,kambai̯
খলিন,kʰolin
ঠেং,tʰeŋ
হংসবাহন,hɔŋʃobahon
খর্ব,kʰɔrbo
পাসরণ,paʃoron
কুচফল,kucpʰɔl
কীলকলিপি,kilkolipi
তৌহিদ,t̪ou̯hid̪
বাবা,baba
মজুব,moɟub
নৌ,nou̯
সর্বাভরণ,ʃɔrbabʰɔron
তোফা,t̪opʰa
সহস্ৰৈক,ʃɔhosroi̯k
আযোড়,aɟodor
কট-কওলা,kɔt-kola
বুদ্ধিগম্য,bud̪d̪ʰigɔmmo
শষ্পশ্যাম,ʃoʃpoʃʃam
তরঙ্গিম,t̪ɔroŋgim
আহারী,ahari
অতিদর্প,ot̪id̪ɔrpo
ফরজন্দ,pʰɔrɟɔnd̪o
কার্যোদ্ধার,karɟod̪d̪ʰar
খাদক,kʰad̪ok
উৎক্ষেপ,ut̪kʰep
লিখিতব্য,likʰit̪obbo
আকুলীভূত,akulibʰut̪o
বাউরা,bau̯ra
ভগীরথী,bʰogirot̪ʰi
ভৌতিক,bʰou̯t̪ik
অবিশ্বস্ত,ɔbiʃʃɔst̪o
মালজমিন,malɟomin
অক্ষটি,ɔkkʰoti
প্রজাশক্তি,proɟaʃokt̪i
তোমরা,t̪omra
স্বরচিত,ʃɔrcit̪o
খাড়ি,kʰaɽi
আঙ্গুলহাড়া,aŋgulhadada
ধেনুমক্ষিকা,d̪ʰenumokkʰika
পরব্রত,pɔrobrot̪o
সম্মাননা,ʃɔmmanona
শেরিফ,ʃeripʰ
গুণারী,gunari
চোখাচোখি,cokʰacokʰi
ইচলা,icla
প্রশ্নকর্তা,proʃnokɔrt̪a
ঝাঁটপাট,ɟʰatpat
ভট্টার,bʰɔttar
মতিভ্রষ্ট,mot̪ibʰroʃto
উপসংহার,upoʃɔŋhar
ঢিপির,dʰipir
গরুতে,gorut̪e
বৈশ্য,boi̯ʃʃo
উচ্ছিষ্ট,uccʰiʃto
অন্ত্যদেশ,ɔnt̪od̪eʃ
আলবাটি,albati
নওরতন,nɔo̯rɔt̪on
মহাপ্রভু,mɔhaprobʰu
অন্তিমঅবস্থা,ɔnt̪imɔbost̪ʰa
আমোদী,amod̪i
উতরানো,ut̪rano
সুতীক্ষ্ণ,ʃut̪ikkʰno
তরকারী,t̪ɔrkari
কাটে,kate
কদাকার,kɔd̪akar
চিত্তচকোর,cit̪t̪ocokor
একচোখো,ækcokʰo
আখজ,akʰɔɟ
ঢুরা,dʰura
বিশ্লেষিত,bisleʃit̪o
ভইস,bʰoi̯s
কচায়ন,kɔcaʲon
বোলচাল,bolcal
দারু,d̪aru
প্রসঙ্গক্রমেত,proʃɔŋgokromet̪
সুরূপ,ʃurup
বল্লালী,bollali
ঝোল,ɟʰol
খর্বাকৃতি,kʰɔrbakrit̪i
সাজন্ত,ʃaɟont̪o
চিরস্বপ্রকাশ,ciroʃʃoprokaʃ
ভজনালয়,bʰɔɟonalɔʲ
কেমনতর,kemont̪ɔr
লঙ্কাবাটা,lɔŋkabata
ডবী,dobi
অবচনীয়,ɔboconiʲo
দাঁতন,d̪at̪on
সমমনা,ʃɔmomona
উপার্জিত,uparɟit̪o
বিকর্ম,bikɔrmo
গান্ধি,gand̪ʰi
দ্বিজোত্তম,d̪iɟot̪t̪om
পুরুষালী,puruʃali
নস্তোত,nɔst̪ot̪
সিপাহ,sipah
উনমত,unmɔt̪
বহিরঙ্গ,bohirɔŋgo
তিলাঞ্জলি,t̪ilanɟoli
মসূর,moʃur
আত্মোপ-জীবনী,at̪t̪op-ɟiboni
দিগর,d̪igɔr
বিরাগ,birag
ঠাকুর-দালান,tʰakur-d̪alan
কুটানো,kutano
নির্বিশেষ,nirbiʃeʃ
পরীক্ষোত্তীর্ণ,porikkʰot̪t̪irno
বোড়া,boɽa
গর্বিত,gorbit̪o
ঝাঝরি,ɟʰaɟʰri
ভাঁজ,bʰaɟ
পাককরা,pakkɔra
তাটঙ্ক,t̪atoŋko
মনঃশিলা,monoʃila
ইল্লুতে,illut̪e
আটন,aton
পথখরচা,pɔt̪ʰkʰɔrca
প্যাঁকাটি,pækati
সুজনি,ʃuɟni
আঁষ্টে,aʃte
খিলী,kʰili
পিঠারি,pitʰari
পেছু,pecʰu
খচাখচ,kʰɔcakʰɔc
মহীন্দ্র,mohind̪ro
প্যারেড,pæred
দেবাত্ব,d̪ebat̪t̪o
লহা,lɔha
বৃত্র,brit̪ro
ভুটি,bʰuti
লেজা,leɟa
ডবলা,dɔbla
শাদা,ʃad̪a
খণ্ডা,kʰɔnda
যৌক্তিক,ɟou̯kt̪ik
লেঙ্গট,leŋgɔt
ফলানা,pʰɔlana
আকেল,akel
সর্বতোমুখী,ʃɔrbot̪omukʰi
শূর,ʃur
দণ্ডদাতা,d̪ɔndod̪at̪a
মনোজগৎ,monoɟɔgɔt̪
দেবকী,d̪eboki
কানা,kana
ইবারত,ibarɔt̪
লেটা,leta
মোক্ষণ,mokkʰon
আয়ুর্বেদী,aɟɟʰurbed̪i
বরাতে,bɔrat̪e
তামলি,t̪amli
দুলহা,d̪ulha
বাঘডাশা,bagʰdaʃa
কোরণ্ড,kearondo
জাপ্য,ɟappo
লাওয়ামা,lao̯ʷama
আধিপত্য,ad̪ʰipot̪t̪o
বর্ণচোরা,bɔrnocora
বিষনয়ন,biʃɔnɔʲon
চিরজীবী,ciroɟibi
মসে,mɔʃe
ছাবলা,cʰabla
বনাবন্তি,bɔnabont̪i
আজুরা,aɟura
শোভমান,ʃobʰman
চোনানো,conano
মর্তমান,mɔrt̪oman
থিকা,t̪ʰika
শ্রদ্ধেয়া,srod̪d̪ʰeɟa
অনুল্লঙ্ঘ্য,onullɔŋgʰo
বাৎ,bat̪
দোগ্ধা,d̪ogd̪ʰa
অনিকাম,ɔnikam
ধন্দা,d̪ʰɔnd̪a
নিহারা,nihara
আত্মানন্দ,at̪t̪anɔnd̪o
জমক,ɟɔmok
অনুপ্রাণনিত,onuprannit̪o
সুমুন্দি,ʃumund̪i
লোলিত,lolit̪o
ছলকে,cʰɔlke
বস্তুতত্ত্ব,bost̪ut̪ɔt̪t̪o
আল্লার,allar
কোণাকুণি,konakuni
অ্যাকশনরিপ্লে,ækʃonriple
বিমর্দিত,bimɔrd̪it̪o
অধ্যয়নমগ্ন,od̪d̪ʰoʲonmɔgno
টিকালো,tikalo
গুজরতি,guɟrot̪i
সর্বাঙ্গীণ,ʃɔrbaŋgin
শৃৃঙ্গধ্বনি,sriŋgod̪ʰoni
ইনিয়ে,iniʲe
সুটকেস,ʃutkes
নিধার্য,nid̪ʰarɟo
ফানা,pʰana
কাহেরে,kahere
সপ্তমী,ʃɔpt̪omi
দাদনদার,d̪ad̪ond̪ar
দিননাথ,d̪innat̪ʰ
কানাচি,kanaci
বিরুপত্ব,birupɔt̪t̪o
গোলান্দাজ,goland̪aɟ
প্রপঞ্চ,propɔnco
সুপর্ণ,ʃupɔrno
ভুঁয়েস,bʰuʲes
ধানদূর্বা,d̪ʰand̪urba
স্বচক্ষে,ʃɔcokkʰe
খ্রিষ্টান,kʰriʃtan
বকুনি,bokuni
আমরার,amrar
ক্রৌঞ্চমিথুন,krou̯ncomit̪ʰun
ইলহান,ilhan
দাপান,d̪apan
সাঙা,ʃaŋa
অয়েলকরা,ɔɟorelkɔra
শতাংশ,ʃɔt̪aŋʃo
মিতাচারী,mit̪acari
বসবাস,bɔʃobaʃ
সুরাইয়া,ʃurai̯ɟa
তপসিল,t̪ɔpʃil
জাতিসংকর,ɟat̪iʃɔŋkɔr
উদ্‌যাপিত,ud̪ɟapit̪o
তরক্কী,t̪ɔrokki
এক্সপ্রেস,ekspres
অধিরূঢ়,od̪ʰiruɽʰo
মেথর,met̪ʰor
আলখিল্লা,alkʰilla
নগরকীর্তন,nɔgorkirt̪on
চিক্কার,cikkar
প্রকটন,prokɔton
চলদল,cɔld̪ɔl
গোঠ,gotʰ
স্বাক্ষর,ʃakkʰor
আলাপ,alap
স্বতঃসিদ্ধ,ʃɔt̪oʃid̪d̪ʰo
পাদচারণ,pad̪caron
অশ্বগ্রীব,ɔʃʃogrib
সাউলি,sau̯li
নগীনা,nogina
অর্থপিশাচ,ɔrt̪ʰopiʃac
মোদিতা,mod̪it̪a
অপদ,ɔpod̪
বলশেভিক,bolʃebʰik
ধবলপক্ষ,d̪ʰɔbolpokkʰo
সম্মতি,ʃɔmmot̪i
মহোরগ,mɔhorɔg
পদকার,pɔd̪kar
দম্ফ,d̪ɔmpʰo
বৃত্তগন্ধি,brit̪t̪ogɔnd̪ʰi
মিলমিলা,milmila
কুলপতি,kulpot̪i
পৈশাচিকী,poi̯ʃaciki
বিপ্রকৃষ্ট,biprokriʃto
উদ্ধরণচিহ্ন,ud̪d̪ʰɔroncinno
খুনশী,kʰunʃi
শ্রবণবিবর,srobonbibɔr
নাকে-চোখে,nake-cokʰe
যদুমধু,ɟod̪umod̪ʰu
ফেলাফেলি,pʰelapʰeli
রেজগী,reɟgi
জাওনা,ɟao̯na
পুড়ুনি,puɽuni
ভল্লূকজ্বর,bʰɔllukɟɔr
সারগম,ʃargɔm
রোদে,rod̪e
বিচ্ছিত্তি,biccʰit̪t̪i
অচেনা,ɔcena
টেপা,tepa
কোর্টশীপ,kortʃip
ঢালন,dʰalon
সোমরস,ʃomors
সমাংশিত,ʃɔmaŋʃit̪o
ঠাস,tʰaʃ
নিশাপতি,niʃapot̪i
বিধৃত,bid̪ʰrit̪o
ছড়াছড়ি,cʰɔdacʰdocʰi
দ্বিশত,d̪iʃɔt̪o
পীঠ,pitʰ
রাসযাত্রামণ্ডল,rasɟat̪ramɔndol
ভৃঙ্গি,bʰriŋgi
দোয়াজ-দহম,d̪oʷaɟ-d̪ɔhom
থরথরানি,t̪ʰɔrt̪ʰɔrani
বজ্রাগ্নি,bɔɟragni
আন্তরে,ant̪ɔre
টলমালায়মান,tɔlmalaʲman
নয়লী,nɔʲli
ঘরানা,gʰɔrana
পিছু,picʰu
রেজিমেন্ট,reɟiment
অনুপদ,onupɔd̪
সপ্তাশীতিতম,ʃɔpt̪aʃit̪it̪ɔmo
অজস্রত্ব,ɔɟosrot̪t̪o
